name,description,primaryLanguage,starCount,forkCount,visibility,lastUpdatedDate,tags
archestra,"Secure gateway for MCP, A2A, LLM; MCP registry & orchestrator",TypeScript,0,0,Public,2026-01-31T17:42:00Z,"mcp, authentication, gateway, security"
z,"A private-first social utility designed for close friends and family, featuring a chronological timeline and meaningful interaction while filtering out algorithmic noise.",Dart,0,0,Public,2026-01-24T04:49:08Z,"social media, privacy-first, flutter, chronological timeline, social utility"
cool_ui,"A state-driven, animation-first Flutter UI framework that derives an entire visual language from two user-supplied colors.",Dart,0,0,Public,2026-01-23T15:53:04Z,"flutter, ui-framework, animation, design-system, state-driven"
gronur,"A premium E-commerce Grocery application built with Flutter, focused on providing a seamless and visually stunning shopping experience.",Dart,0,0,Public,2026-01-23T06:16:08Z,"flutter, e-commerce, grocery-app, dart, ui-design"
flutter_share,"A cross-platform Flutter application for seamless file sharing between devices on the same Wi-Fi network using Zeroconf for discovery without internet.",Dart,0,0,Public,2026-01-18T03:30:55Z,"flutter, file-sharing, wi-fi, cross-platform, zeroconf"
bacha,"A multimodal recommendation system for video feeds that leverages CLIP for unified vector embeddings and includes an interactive 2D/3D latent space visualizer.",Python,0,0,Public,2026-01-16T13:40:22Z,"recommendation-system, multimodal, clip, vector-embeddings, semantic-search"
blog,"A minimal starter kit for building a blog using Astro, Netlify, and Sanity, featuring visual editing capabilities.",Astro,0,0,Public,2026-01-16T13:34:43Z,"astro, netlify, sanity, visual-editing, starter-kit"
anti_a,"A new Flutter project, likely a mobile or cross-platform application in its early stages.",Dart,0,0,Public,2026-01-16T13:31:49Z,"flutter, dart, mobile-app, cross-platform"
parla-new,"A new Flutter project, possibly related to the Parla application, utilizing the Flutter framework for mobile development.",Dart,0,0,Public,2026-01-16T13:29:44Z,"flutter, dart, parla, mobile-app"
Nebula-Hand,"A production-ready interactive 3D website featuring a 20,000 particle system with custom physics and real-time hand tracking using MediaPipe.",JavaScript,0,0,Public,2025-12-08T12:01:12Z,"react, threejs, mediapipe, webgl, hand-tracking"
z-web,"A minimal web development setup using React, TypeScript, and Vite, configured for deployment on Vercel.",TypeScript,0,0,Public,2025-11-27T16:29:09Z,"react, typescript, vite, web-development, vercel"
instagram_clone,"An Instagram clone project built with Flutter, featuring authentication with Supabase and a system for posting stories and reels. Note: README is mostly a default Flutter template.",Dart,0,0,Public,2025-10-18T08:31:55Z,"Flutter, Supabase, Dart, Instagram clone, Mobile App"
swift_chat,"A blazingly fast, cross-platform real-time chat application built with Flutter and PocketBase, designed for a Discord-like experience.",Dart,0,0,Public,2025-10-14T14:51:14Z,"Flutter, PocketBase, Riverpod, Real-time Chat, Cross-platform"
flutter_native_ad,"A powerful Flutter plugin for integrating diverse ad formats like banner, interstitial, rewarded, and native ads using Google Mobile Ads.",Java,0,0,Public,2025-10-14T09:34:45Z,"Flutter plugin, Google Mobile Ads, Native Ads, Monetization, Dart"
Mister-Ritom,"The personal profile repository for Ritom, highlighting expertise in Flutter, Firebase, and Supabase.",,,0,0,Public,2025-10-14T07:36:04Z,"Profile README, Developer, Flutter, Firebase, Supabase"
ananta,"A React-based web application built with Vite, Tailwind CSS, and Framer Motion, deployed on Vercel. Note: README is minimal, containing only the title.",TypeScript,0,0,Public,2025-09-28T09:57:51Z,"React, Vite, Tailwind CSS, TypeScript, Web Development"
edu_shelf,"A Flutter-based mobile marketplace for educational books, integrating Firebase for real-time inventory and delivery management.",Dart,0,0,Private,2025-09-25T07:37:21Z,"Flutter, Firebase, Education, E-commerce, Mobile"
suur,"A desktop music player ('music player with class') built with C++ and Flutter, utilizing vlc-dart for high-quality audio playback.",C++,0,0,Public,2025-05-18T15:00:20Z,"Music Player, Flutter, C++, VLC, Desktop"
portfolio,"A personal portfolio and project showcase website built with SvelteKit and modern web technologies.",Svelte,0,0,Public,2025-05-07T16:28:11Z,"SvelteKit, JavaScript, Portfolio, Web Development, Frontend"
parla,"A secure, privacy-centric chat application using end-to-end encryption and ephemeral storage, powered by Flutter and Firebase.",Dart,0,0,Public,2025-05-06T16:51:06Z,"Chat, Privacy, Encryption, Flutter, Firebase"
my-notes,"A lightweight and cross-platform note-taking application developed with Flutter for efficient personal organization.",C++,0,0,Public,2025-04-18T09:12:22Z,"Notes, Flutter, Productivity, Dart, Mobile"
Adda,"A Group/Sever/House based chat app that aims to keep friends from around the wordld closer/",Dart,0,0,Public,2024-05-15T05:40:46Z,"Chat, Flutter, Social, Mobile"
ritom-site,"The personal website for Ritom, developed using Svelte and SvelteKit, hosted on Vercel.",,,0,0,Public,2023-07-27T14:33:04Z,"Svelte, SvelteKit, Vercel, Web-Development, Portfolio"
Coffees,"A base game project created for learning C++ and the SDL2 library for 2D graphics.",C++,0,0,Public,2023-07-06T06:13:09Z,"C++, SDL2, Game-Development, Learning, Graphics"
2D-Platformer,"A 2D platformer game developed with Unity, designed for a future release on the Google Play Store.",C#,0,0,Private,2023-06-07T16:43:29Z,"Unity, C-Sharp, Game-Development, Android, Platformer"
Ananta-Client,"A utility client/mod for Minecraft focused on anarchy servers, built with Kotlin and Java.",Java,8,3,Public,2022-12-15T15:20:27Z,"Minecraft, Kotlin, Java, Modding, Hacked-Client"
RG-Assistant-Android,"A smart assistant application for Android that leverages AI to interact with users.",Kotlin,1,0,Public,2022-06-24T06:54:24Z,"Android, AI, Assistant, Kotlin, Mobile-App"
Words-Finder,"A Java command-line interface tool that fetches random words from the internet or a large pre-defined list.",Java,0,0,Public,2022-06-24T06:49:06Z,"Java, CLI, Web-Scraping, Vocabulary, Tool"
java-minecraft,"A voxel engine sandbox created in Java to demonstrate and learn Minecraft-style rendering and physics.",Java,0,0,Public,2022-02-27T00:13:30Z,"Java, OpenGL, Game-Engine, Minecraft-Clone, Physics"
